eps	abs_m	Cv	chi
-1.23989	0.103615	0.00437614	0.0262501
-1.23954	0.103861	0.00437745	0.0261977
-1.23926	0.103916	0.00437436	0.0261427
-1.2388	0.104391	0.00438267	0.0260989
-1.23834	0.10457	0.00439087	0.0260458
-1.23801	0.104812	0.00439077	0.0259942
-1.23768	0.104676	0.00439063	0.0259408
-1.2374	0.104438	0.00438833	0.0258896
-1.23732	0.104304	0.00437971	0.0258367
-1.23726	0.103983	0.00437089	0.0257882
-1.23706	0.103747	0.00436523	0.0257376
-1.23694	0.103533	0.00435738	0.0256868
-1.23703	0.103402	0.00434906	0.0256347
-1.23698	0.103292	0.00434037	0.0255825
-1.23684	0.103142	0.00433305	0.0255312
-1.23678	0.102766	0.00432443	0.025486
-1.23689	0.102045	0.00431659	0.0254603
-1.2372	0.101347	0.00431607	0.0254332
-1.23737	0.100835	0.0043097	0.0253948
-1.23754	0.100041	0.00430334	0.0253754
-1.23777	0.0990872	0.00429906	0.0253705
-1.23781	0.0983806	0.00429053	0.0253448
-1.238	0.0975758	0.00428483	0.025327
-1.2379	0.0967944	0.004277	0.0253074
-1.23819	0.0958753	0.00427543	0.0253001
-1.23851	0.0949598	0.00427596	0.0252927
-1.23866	0.0941683	0.00426916	0.0252745
-1.2388	0.09344	0.00426239	0.0252515
-1.23904	0.0925549	0.00425896	0.0252419
-1.23924	0.091753	0.004254	0.0252252
-1.23917	0.0912127	0.00424607	0.0251903
-1.23909	0.0906349	0.00423817	0.0251578
-1.23927	0.0899208	0.00423261	0.0251348
-1.23964	0.0891107	0.00423671	0.0251196
-1.23982	0.088501	0.00423114	0.0250897
-1.24006	0.0880315	0.00422774	0.0250519
-1.24016	0.0877996	0.00422028	0.0250056
-1.24043	0.0872157	0.00421865	0.0249746
-1.24049	0.0867319	0.00421069	0.0249382
-1.24051	0.0862891	0.0042025	0.0248999
-1.24066	0.085692	0.00419644	0.0248704
-1.24084	0.0849416	0.00419097	0.0248521
-1.24095	0.0841748	0.00418401	0.0248353
-1.24109	0.0834496	0.0041775	0.0248154
-1.24124	0.0829207	0.0041715	0.0247824
-1.24135	0.0825483	0.00416461	0.024742
-1.24145	0.0820617	0.00415737	0.0247071
-1.24169	0.0815	0.00415488	0.0246767
-1.24184	0.0810365	0.00414895	0.024641
-1.24215	0.080364	0.0041493	0.0246183
-1.24233	0.0797132	0.00414454	0.0245943
-1.24231	0.0788359	0.00413668	0.0245893
-1.24242	0.0778095	0.0041299	0.0245999
-1.24279	0.076749	0.00413491	0.0246147
-1.24311	0.0758634	0.00413626	0.0246109
-1.24333	0.0751326	0.00413291	0.0245936
-1.24376	0.0742344	0.00414193	0.0245915
-1.24385	0.0735283	0.00413481	0.0245726
-1.24379	0.0728625	0.0041274	0.0245508
-1.24389	0.0722932	0.00412067	0.0245226
-1.24398	0.0717636	0.00411363	0.0244921
-1.24386	0.0711798	0.00410725	0.0244652
-1.24394	0.0705794	0.00410027	0.0244395
-1.24407	0.0699627	0.00409403	0.0244151
-1.24415	0.0692737	0.00408708	0.0243961
-1.24437	0.068513	0.00408381	0.0243831
-1.24443	0.0680705	0.00407664	0.0243489
-1.24461	0.0675741	0.00407202	0.0243176
-1.24482	0.0669501	0.00406876	0.0242946
-1.24493	0.0662915	0.00406223	0.0242742
-1.24479	0.0658379	0.00405654	0.0242411
-1.2446	0.0653493	0.00405258	0.02421
-1.24442	0.0647523	0.00404799	0.0241858
-1.24456	0.0638278	0.00404239	0.02419
-1.24472	0.0629982	0.00403731	0.024185
-1.24491	0.062281	0.00403345	0.0241701
-1.24495	0.0616393	0.0040263	0.0241496
-1.24493	0.0608909	0.00401905	0.0241377
-1.24501	0.0600544	0.00401239	0.024134
-1.24505	0.0592572	0.00400532	0.0241268
-1.24503	0.058698	0.00399815	0.0241011
-1.245	0.0581227	0.003991	0.0240767
-1.24505	0.0573874	0.00398401	0.0240645
-1.24536	0.0566007	0.00398638	0.024057
-1.2456	0.0558348	0.00398487	0.0240478
-1.24581	0.0550538	0.00398179	0.0240401
-1.24601	0.0542576	0.00397871	0.0240339
-1.24607	0.0538393	0.00397196	0.0240012
-1.2461	0.0532799	0.00396494	0.0239767
-1.24619	0.0526512	0.00395878	0.0239571
-1.24641	0.0522735	0.00395647	0.0239229
-1.24621	0.0519858	0.00395362	0.0238853
-1.24611	0.0518584	0.00394759	0.023844
-1.24595	0.0517138	0.00394288	0.0238031
-1.24571	0.0515873	0.00394158	0.0237621
-1.24562	0.0511268	0.00393559	0.0237328
-1.24547	0.0507206	0.0039309	0.0237008
-1.24533	0.0501228	0.00392574	0.0236804
-1.24534	0.0496497	0.00391887	0.0236522
-1.24544	0.0492657	0.00391292	0.0236197
-1.24517	0.0491623	0.0039134	0.0235791
-1.24497	0.0491289	0.00391059	0.0235381
-1.24473	0.0491478	0.00390928	0.0234972
-1.24439	0.0493403	0.0039139	0.0234586
-1.24402	0.0495494	0.00392092	0.0234205
-1.24363	0.0498789	0.00392919	0.0233866
-1.24342	0.05019	0.00392698	0.023352
-1.24328	0.0503103	0.00392229	0.0233126
-1.24324	0.050568	0.0039157	0.0232765
-1.2432	0.0505498	0.00390913	0.0232365
-1.24307	0.0509262	0.00390402	0.0232052
-1.2431	0.0510959	0.00389742	0.0231673
-1.24316	0.051094	0.00389116	0.0231277
-1.24334	0.0509556	0.00388789	0.0230894
-1.24336	0.0506985	0.00388128	0.0230541
-1.24349	0.0502041	0.00387642	0.0230298
-1.24367	0.0495756	0.00387317	0.0230149
-1.24383	0.0490678	0.00386933	0.0229917
-1.24398	0.0485448	0.00386496	0.0229696
-1.2441	0.0483784	0.00386013	0.0229325
-1.24423	0.0482462	0.0038553	0.0228949
-1.24419	0.0479461	0.00384898	0.0228619
-1.24437	0.0473277	0.00384577	0.0228472
-1.24446	0.0467282	0.00384022	0.0228311
-1.24469	0.0460302	0.00383912	0.0228231
-1.24482	0.0454348	0.00383435	0.022807
-1.24461	0.0450751	0.00383245	0.022777
-1.24445	0.0447	0.00382865	0.0227478
-1.24429	0.0443428	0.00382485	0.0227179
-1.24404	0.0441196	0.00382535	0.0226833
